16,16,20,16,25,12,0,15,0,21,18,16,17,16,16,18,16,16,16,18
20,16,20,16,25,0,0,0,0,21,19,16,16,17,16,18,19,17,19,16
20,16,18,19,25,0,0,0,0,21,20,18,16,16,16,16,20,19,18,16
16,16,16,20,25,0,0,0,0,21,20,16,16,20,17,19,19,19,19,16
16,16,16,20,25,0,0,0,0,28,16,19,20,16,16,16,17,16,20,16
18,18,16,16,26,0,0,0,0,0,28,18,16,20,16,16,16,19,16,16
16,17,18,26,0,0,0,0,0,0,0,28,16,16,20,16,16,16,16,20
16,17,26,0,0,0,0,0,0,0,0,0,28,27,27,20,16,19,17,17
27,26,0,0,0,0,0,0,0,0,0,0,0,0,0,28,27,27,27,27
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,13
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
16,16,16,16,19,16,16,19,16,16,16,18,17,16,16,16,16,16,16,16
17,19,17,16,16,20,16,16,16,16,16,18,16,16,16,16,16,16,19,16
16,18,16,16,16,19,18,16,19,16,18,16,16,16,16,20,16,16,16,16
