16,16,16,16,27,27,27,16,18,18,16,17,19,27,27,27,16,16,16,16,27,27,27,27,27,27,16,20,16,19,16,16,16,17,16
16,20,27,26,0,0,0,21,16,16,16,16,25,0,0,0,28,27,27,26,0,0,0,0,0,0,21,16,18,18,16,16,27,27,16
18,26,0,0,0,0,0,28,27,27,27,27,26,0,0,0,0,0,0,0,0,0,0,0,0,0,21,20,19,17,16,25,0,0,21
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,27,27,27,27,26,0,1,21
25,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,21
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,21
25,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
26,0,0,0,0,0,0,0,0,0,0,0,0,22,24,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,21
12,0,0,0,0,0,0,0,0,0,0,0,0,21,25,0,0,0,0,0,0,0,0,0,0,22,24,0,0,0,0,0,0,0,21
0,0,0,0,0,0,0,22,23,23,24,0,0,21,25,0,0,0,0,0,0,0,0,0,0,21,25,0,0,0,0,22,23,23,16
23,24,0,0,0,0,0,21,19,19,25,0,0,21,25,0,0,22,23,23,23,24,0,0,0,21,25,0,0,0,0,21,20,16,16
16,20,23,24,6,6,6,21,16,16,25,6,6,21,25,6,6,21,17,19,18,25,6,6,6,21,25,0,0,0,22,16,20,18,16
20,17,17,16,23,23,23,16,17,16,17,23,23,17,17,23,23,19,16,19,16,19,23,23,23,18,16,24,0,7,21,16,18,16,18
19,16,16,16,16,16,16,20,16,16,20,20,17,20,16,16,16,17,18,19,16,16,16,16,16,17,16,25,14,0,21,18,16,20,20
