17,20,16,25,15,0,21,16,17,20,16,16,16,16,17,20,16,16,27,27,27,27,27,27,27,27,27,27,27,27,27,27,26,12,7,28,17,16,16,16
18,19,16,25,0,0,21,17,18,20,16,17,27,27,27,27,27,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,28,27,17,19
19,20,18,25,0,0,21,17,16,16,17,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,21,17
16,16,16,25,0,0,21,20,16,18,16,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,22,23,24,0,0,0,0,0,0,0,21,16
17,16,17,25,0,0,21,17,16,17,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,27,27,27,27,27,27,27,27,27,27,20
16,16,16,25,0,0,21,16,17,16,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
16,27,27,26,0,0,28,27,27,27,26,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,27,27,27,27,27,27,27,27,26,0,0,0,0,0,0,0,0,0,0,0,21
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,22,24,7,0,0,0,0,21
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,23,27,26,0,0,0,0,0,21
25,0,0,22,23,23,24,0,0,22,23,23,24,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,21,25,0,0,0,0,0,0,0,21
25,0,1,28,27,27,26,0,0,21,16,19,16,23,23,23,23,23,23,23,24,6,6,6,6,22,23,23,23,23,16,25,0,0,0,0,0,0,0,21
25,0,2,0,0,0,0,0,0,21,17,17,16,27,27,27,27,16,20,16,18,23,23,23,23,27,27,27,27,27,16,25,0,0,0,0,0,0,0,21
25,6,6,6,6,6,6,6,6,21,19,27,26,0,0,0,0,28,27,27,27,27,27,27,26,0,0,0,1,0,21,25,0,0,0,0,7,22,23,18
17,23,23,23,23,23,23,23,23,16,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,21,25,0,0,0,0,0,28,27,17
16,16,16,16,17,27,27,27,27,27,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,21,25,0,0,0,0,0,0,0,21
16,16,16,27,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,21,25,0,0,0,0,0,0,0,21
16,18,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,21,25,0,0,0,0,0,0,0,21
16,25,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,22,24,0,0,0,0,0,0,0,0,21,19,23,24,0,0,0,0,0,28
16,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,26,0,0,0,0,0,0,0,0,28,27,27,26,0,0,0,0,0,14
18,26,0,0,0,0,0,0,22,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,28,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,23,23
25,0,0,0,0,0,0,0,0,0,0,0,7,22,23,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,16,17,18
25,0,0,0,0,0,0,0,0,0,0,0,0,28,27,19,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,16,16,19,20
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,16,18,20,17,20
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,23,24,0,7,0,0,0,0,0,0,0,22,23,23,16,19,20,16,16,16
26,0,0,0,22,23,24,0,0,0,22,23,24,0,0,0,0,0,0,28,27,26,0,0,0,0,0,0,0,0,22,18,16,18,16,16,16,19,16,16
13,0,0,0,21,19,26,0,0,0,28,27,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,23,16,16,16,19,16,16,19,20,19,16
0,0,0,22,17,25,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,22,23,23,16,16,16,20,16,16,16,19,20,16,18,16
23,23,23,16,16,17,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,20,16,16,18,20,18,16,20,16,16,18,16,18,16,17
