16,16,17,16,16,17,18,18,17,16,20,16,17,17,16,20,16,16,16,16
27,27,27,27,27,16,16,16,16,16,17,19,16,16,16,16,18,16,16,20
12,0,0,0,0,28,27,27,27,27,16,16,16,19,17,20,16,17,16,16
0,0,0,0,0,0,0,0,0,0,28,27,27,27,27,27,27,16,18,16
23,23,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,27,16
19,16,17,23,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
20,16,16,16,16,23,24,0,0,0,0,0,4,0,0,0,0,0,0,21
16,16,17,16,19,19,16,23,24,0,0,0,0,0,0,0,0,0,0,21
16,20,16,19,16,20,16,17,20,24,0,0,0,0,0,0,0,0,0,21
16,16,16,18,16,18,16,16,20,17,24,0,0,0,0,0,4,0,0,21
17,16,20,16,16,16,16,16,16,19,16,24,0,0,0,0,0,0,0,21
20,20,19,16,17,20,18,16,16,18,16,25,0,0,0,0,0,0,0,21
17,18,17,18,16,16,17,16,16,16,19,25,0,0,0,0,0,0,0,21
19,16,20,16,16,18,18,16,19,20,17,17,24,0,0,0,0,0,0,21
19,16,19,16,16,17,19,20,20,17,16,16,25,0,5,0,0,0,0,21
16,17,16,17,16,16,16,18,20,17,16,19,16,23,24,0,0,7,22,17
19,16,17,16,16,19,17,16,16,16,16,18,19,27,26,0,0,0,21,20
16,16,16,18,16,19,16,16,16,20,16,16,25,0,0,0,0,0,21,20
16,16,16,18,20,16,17,16,17,16,16,17,25,0,0,0,0,7,21,20
18,18,16,17,16,17,16,16,16,16,18,16,25,0,0,0,0,0,21,16
16,16,16,20,17,17,20,16,16,16,19,17,25,0,0,0,0,0,21,16
17,16,16,16,19,16,17,16,20,20,16,17,25,0,0,0,0,7,21,17
16,16,16,20,16,16,19,18,16,18,16,19,25,0,0,0,0,0,21,17
20,16,16,16,16,16,16,16,16,16,16,16,26,0,0,0,0,0,21,16
20,18,16,17,20,16,16,16,19,16,16,25,0,0,0,0,0,7,21,16
18,17,16,16,16,18,19,16,16,16,16,25,0,0,0,0,0,0,21,20
18,17,16,16,16,20,18,16,16,17,19,25,0,0,0,0,0,0,21,17
19,18,16,16,18,18,18,16,16,19,27,26,0,0,0,0,0,0,21,20
17,16,16,16,16,18,16,16,27,26,0,0,0,0,0,0,7,22,16,19
16,18,16,27,27,27,27,26,0,0,0,0,0,0,0,0,0,21,16,16
27,27,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,18,19
13,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,21,16,17
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,16,20,16
23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,16,20,16,17
19,20,16,16,16,16,19,16,19,16,16,16,16,16,16,19,20,19,18,16
16,16,16,20,20,19,20,16,20,18,17,19,19,16,16,20,16,18,16,16
16,16,16,16,16,16,20,16,19,17,16,19,16,16,17,16,16,19,18,16
16,16,16,16,20,16,18,18,19,20,20,19,16,16,16,17,18,16,16,16
16,17,17,20,16,16,19,16,16,17,17,17,19,16,20,16,16,16,16,16
20,16,19,16,18,16,17,20,16,16,16,20,20,16,16,16,16,19,17,20
