20,20,16,19,20,16,16,17,19,16,17,18,17,18,20,16,16,16,19,16,16,18,17,16,16,16,19,16,20,16,17,16,16,18,16,20,16,16,16,16,16,16,16,18,16,16,16,16,16,17,20,19,18,16,16,18,17,16,16,16,16,16,17,16,16,16,16,19,17,19,16,18,16,16,20,19,19,17,19,16,16,16,19,18,16,19,16,20,20,16,16,16,16,19,16,19,16,16,17,17,17,16,16,18,16,19,18,20,16,19,19,16,16,19,17,18,20,16,16,17,18,16,20,16,16,17,19,16,16,20,16,16,17,17,16,16,19,16,19,16,16,17,19,19,16,17,16,20,16,20,16,16,16,19,16,16,20,16,16,16,17,16,16,16,16,16,16,16,20,16,20,16,18,16,16,16,16,20,25,13,0,21,18,19,16,19,16,18,20,17,16,20,19,16,19,18,16,16,16,16
16,16,17,19,16,16,16,19,16,16,16,18,18,16,16,16,19,17,19,19,17,16,19,16,16,20,16,16,16,19,16,19,17,16,16,17,16,18,20,19,19,16,16,16,16,16,18,16,19,16,16,17,16,16,16,17,16,16,19,16,16,16,16,20,19,19,18,16,18,16,16,19,16,16,18,17,16,20,17,17,16,16,20,16,16,18,19,16,16,17,16,16,16,20,18,16,16,16,20,16,16,16,18,19,17,19,16,16,16,17,16,16,20,16,16,16,19,19,20,19,16,16,18,18,19,16,16,19,16,16,16,17,20,20,16,16,16,17,16,16,19,20,17,19,19,16,16,16,16,18,17,19,16,16,16,16,17,16,16,16,16,20,16,17,17,18,20,16,16,20,19,17,16,16,16,20,16,16,25,0,0,21,16,19,16,16,16,16,16,18,20,16,16,16,16,16,16,17,16,16
20,16,19,16,16,17,20,16,16,18,16,17,18,19,16,18,19,16,16,20,16,16,18,19,16,20,16,16,16,16,18,16,16,18,16,20,16,19,18,19,16,16,16,18,16,16,16,16,16,16,16,16,16,16,18,16,18,16,16,16,17,16,16,16,20,16,16,16,16,16,16,18,20,17,16,19,16,18,16,19,16,16,19,16,18,16,16,16,16,16,17,18,16,18,16,18,17,16,16,20,16,17,16,20,16,16,16,16,16,16,20,16,16,19,16,18,16,19,20,16,18,20,16,16,19,16,17,19,16,16,16,18,16,19,16,16,16,16,18,16,16,16,16,16,16,16,19,18,16,16,16,16,20,16,16,16,17,19,16,16,19,20,18,16,16,16,18,16,16,18,16,20,16,17,16,16,19,16,25,0,0,21,17,16,16,20,16,16,16,16,16,16,16,19,16,16,17,17,19,16
16,17,16,16,18,20,16,16,20,16,16,16,16,17,16,17,16,16,18,17,16,16,16,16,16,19,18,20,16,16,16,16,17,16,16,16,17,16,17,16,20,20,20,16,20,16,16,19,16,16,16,19,16,19,17,18,18,17,16,16,20,19,18,17,17,17,16,18,16,16,16,16,20,16,16,16,16,18,17,20,19,16,16,19,20,16,16,16,16,17,17,19,16,16,16,16,18,16,16,16,19,19,16,16,18,16,16,20,18,17,16,17,17,16,17,16,16,16,16,16,16,19,16,17,19,16,16,18,16,16,16,16,17,16,19,18,16,16,16,16,16,18,19,20,16,18,18,19,17,17,20,17,16,16,20,19,16,18,16,16,18,20,16,16,16,17,17,16,17,20,19,16,16,16,16,18,18,16,25,7,0,21,17,20,16,19,16,16,20,18,19,16,16,19,18,16,16,18,16,20
16,20,19,16,17,16,17,16,16,16,20,16,17,16,20,16,18,17,20,17,16,19,19,16,17,19,19,20,17,20,16,16,16,19,20,19,16,17,16,19,18,16,17,16,16,16,16,17,20,17,16,16,16,16,16,17,16,16,18,18,16,16,16,16,17,20,18,16,16,18,19,16,16,16,19,16,17,16,16,16,19,17,16,16,16,16,17,16,16,17,16,16,16,17,20,19,18,16,16,19,17,17,20,19,18,16,16,18,16,18,20,17,19,16,16,17,16,16,16,17,16,19,16,20,18,16,16,16,17,17,16,19,19,20,19,16,16,19,20,16,16,18,16,16,20,17,16,16,16,16,16,20,20,16,16,16,16,19,16,17,20,16,16,16,18,16,19,19,16,18,20,20,16,16,16,16,16,16,25,7,0,21,16,16,17,20,16,17,16,16,16,16,20,16,17,20,16,16,16,16
20,17,16,16,16,17,18,17,16,19,16,16,19,19,19,19,16,18,16,18,16,16,18,17,16,16,16,19,18,16,16,20,20,16,16,16,18,17,19,16,19,16,16,16,16,16,16,20,20,18,16,16,17,17,19,16,16,17,20,16,19,16,16,16,18,19,16,16,16,17,16,16,16,16,19,20,18,16,16,17,16,18,16,16,16,19,16,20,20,16,19,16,17,16,16,19,16,18,16,17,16,16,20,19,16,16,20,16,16,16,17,16,16,16,16,20,20,16,18,18,16,16,16,16,16,16,16,18,16,18,16,17,16,16,18,16,16,19,16,16,20,16,18,16,16,16,20,18,17,20,16,16,16,20,17,20,18,16,16,20,18,20,16,16,20,18,16,18,18,16,16,16,18,20,16,16,20,16,25,7,0,21,20,18,16,18,16,16,16,16,16,18,19,16,20,16,20,19,17,17
18,16,16,17,16,20,16,17,17,16,16,17,20,16,16,19,17,19,16,16,16,16,16,16,17,20,17,16,16,16,16,17,16,17,16,17,16,16,20,18,16,16,18,16,16,16,16,16,16,16,17,16,17,16,18,17,20,16,16,16,16,20,19,19,19,16,16,19,17,18,16,16,16,16,16,18,16,20,16,16,16,20,16,16,16,16,20,16,16,20,19,16,16,20,17,17,16,16,16,18,16,16,18,17,16,20,18,18,16,16,20,18,19,16,20,16,20,16,16,17,16,20,16,16,16,18,20,18,16,16,16,16,16,16,16,16,16,18,18,17,20,17,16,16,16,17,19,16,16,20,16,20,17,20,16,20,17,16,20,16,20,18,20,19,16,16,16,16,19,18,20,16,16,16,19,17,16,20,25,7,0,28,18,16,17,18,16,17,19,19,16,16,19,16,17,16,16,16,17,17
16,16,16,16,16,16,16,18,16,19,16,19,16,16,16,16,16,18,18,17,16,19,20,18,16,16,16,16,19,16,17,18,17,19,19,16,19,20,16,16,16,18,18,19,17,16,16,16,19,16,20,17,16,20,20,16,16,19,16,16,16,17,20,16,17,16,20,18,16,20,20,16,18,16,19,16,20,16,19,18,16,18,16,17,16,16,19,19,19,16,18,16,17,16,18,20,17,19,16,16,16,16,16,16,18,20,16,19,16,16,16,19,16,16,16,16,16,20,20,17,16,17,16,17,19,16,16,16,16,20,19,18,19,17,17,19,16,16,17,19,16,16,17,18,16,17,17,16,18,16,19,17,16,19,16,16,16,18,16,16,17,19,20,18,19,16,19,16,16,19,16,16,20,16,20,19,16,16,25,0,0,0,21,18,20,16,20,16,16,16,20,16,16,16,16,16,16,16,20,20
18,16,16,17,17,16,19,16,16,16,16,16,16,18,20,17,16,16,16,16,16,16,17,19,16,16,16,16,16,16,18,16,16,17,16,16,18,16,17,19,16,16,18,16,16,16,17,16,17,17,16,19,20,16,18,18,16,16,16,20,16,16,20,16,20,16,16,16,18,16,18,16,18,16,16,19,20,19,16,16,16,20,16,19,16,18,17,20,20,16,17,18,20,16,16,16,19,19,19,16,16,16,16,16,18,16,20,16,16,18,27,27,27,27,27,27,27,27,27,27,27,27,17,16,18,16,16,16,19,18,16,16,17,16,16,16,16,19,16,19,16,16,17,19,16,20,17,16,16,19,18,17,16,19,16,16,20,16,18,16,16,16,16,17,19,16,18,20,20,19,20,16,16,19,20,18,16,16,25,0,0,0,28,16,16,16,16,16,17,20,17,20,16,20,20,16,16,16,16,20
16,16,17,20,18,19,16,16,16,16,17,16,20,16,16,20,20,18,16,18,20,18,16,20,17,16,16,16,16,16,16,18,20,19,16,20,16,18,16,17,19,16,19,16,16,20,16,18,18,16,20,16,18,20,17,16,16,16,17,16,16,17,16,19,18,18,16,17,19,19,17,17,16,16,16,16,17,16,16,16,16,16,16,19,19,20,18,16,17,18,16,20,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,26,0,0,0,0,0,0,0,0,0,0,0,0,28,27,27,27,27,27,27,16,16,16,20,16,19,18,18,16,18,16,16,17,16,16,17,18,19,18,20,18,16,20,18,16,20,18,20,16,17,17,16,16,17,18,19,16,16,18,18,16,16,16,17,20,16,16,20,18,25,0,0,0,0,21,20,18,20,16,16,16,16,18,16,16,17,16,16,19,16,16
